Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
Morales Inc,LLC,Approved,Mobile,(384) 969-6636,Business,elizabeth.robinson@morales.com,False,TAX48471,EIN,yg95023,Active,"662 Ronald Burgs, Apt. 810, East Angelaborough, ID 23092-3512",662 Ronald Burgs,Apt. 810,East Angelaborough,ID,USA,23092-3512,23092,3512
"Green, Gonzalez and Rivera",Non-Profit,Rejected,Office,(825) 479-8212,Support,samuel.palmer@green.com,False,TAX81601,TIN,dL32316,Active,"10543 Alicia Parkway, Marcmouth, RI 94550-3975",10543 Alicia Parkway,,Marcmouth,RI,USA,94550-3975,94550,3975
Anderson-Rios,Government,Validated,Office,(389) 332-8387,Personal,tammy.brown@andersonrios.com,True,TAX64084,PAN,vl57435,Pending,"6853 Williamson Causeway Apt. 984, Kimberlyside, VA 76848-1722",6853 Williamson Causeway Apt. 984,,Kimberlyside,VA,USA,76848-1722,76848,1722
Lee-Morris,Private,Validated,Fax,(778) 713-6012,Business,tommy.edwards@leemorris.com,False,TAX10294,LEI,Sv37060,Expired,"15759 Fox Throughway, Roachburgh, VA 95384-4161",15759 Fox Throughway,,Roachburgh,VA,USA,95384-4161,95384,4161
Morrison-Cooke,Non-Profit,Validated,Office,(929) 740-5370,Sales,william.morris@morrisoncooke.com,True,TAX11183,EIN,dz83553,Expired,"475 Gomez Hill, Tammyside, ID 37410-5793",475 Gomez Hill,,Tammyside,ID,USA,37410-5793,37410,5793
Sandoval Group,Non-Profit,Approved,Mobile,(224) 504-3283,Support,brooke.marsh@sandoval.com,True,TAX97464,EIN,Sv88091,Pending,"3101 Stephen Course Apt. 603, Johnsonberg, HI 29537-7641",3101 Stephen Course Apt. 603,,Johnsonberg,HI,USA,29537-7641,29537,7641
Brooks and Sons,Private,Pending,Mobile,(677) 310-2530,Sales,bryan.clark@brooks.com,True,TAX60721,DUNS,hl03872,Inactive,"4354 Rodriguez Underpass, Webbport, ME 49534-2128",4354 Rodriguez Underpass,,Webbport,ME,USA,49534-2128,49534,2128
"Martin, Patterson and Sanders",Non-Profit,In Review,Fax,(289) 286-9045,HR,tony.jackson@martin.com,False,TAX32058,PAN,je75496,Active,"8230 Lopez Fords Suite 836, South Justinmouth, NY 12371-7338",8230 Lopez Fords Suite 836,,South Justinmouth,NY,USA,12371-7338,12371,7338
Wells-Johnson,Private,Validated,Home,(289) 261-4014,HR,david.montgomery@wellsjohnson.com,True,TAX28749,LEI,Ps99223,Expired,"948 Michael Parkway Apt. 134, Jasonfort, VI 68488-4229",948 Michael Parkway Apt. 134,,Jasonfort,VI,USA,68488-4229,68488,4229
"Oliver, Bartlett and Anderson",Government,Approved,Home,(965) 833-2872,Sales,alisha.wilson@oliver.com,False,TAX56178,GST,ES54220,Active,"0969 Marshall Lock, Apt. 057, North Robert, KY 75134-6405",0969 Marshall Lock,Apt. 057,North Robert,KY,USA,75134-6405,75134,6405
Perez Group,Partnership,In Review,Home,(600) 876-9209,Sales,laura.lambert@perez.com,True,TAX88921,PAN,GE75513,Inactive,"87335 Catherine Extensions, West Thomas, MP 86320-7467",87335 Catherine Extensions,,West Thomas,MP,USA,86320-7467,86320,7467
Mccarty Inc,Public,Validated,Office,(592) 253-2024,Personal,patrick.johnson@mccarty.com,True,TAX52514,DUNS,fX71225,Expired,"0411 Jonathan Bypass Suite 110, Frederickmouth, AZ 31954-4012",0411 Jonathan Bypass Suite 110,,Frederickmouth,AZ,USA,31954-4012,31954,4012
"Chen, Singleton and Moore",Partnership,Rejected,Mobile,(263) 906-6768,Personal,travis.bryan@chen.com,False,TAX67121,DUNS,is84702,Pending,"6817 White Cape, Juliachester, MI 18642-6771",6817 White Cape,,Juliachester,MI,USA,18642-6771,18642,6771
Williamson-Cox,Partnership,Validated,Home,(457) 992-4549,Sales,gary.dean@williamsoncox.com,True,TAX89390,EIN,gL87137,Inactive,"7423 Gina Passage Apt. 050, Angelahaven, MI 60147-1815",7423 Gina Passage Apt. 050,,Angelahaven,MI,USA,60147-1815,60147,1815
Hardin-Delacruz,Public,Approved,Office,(414) 905-2179,Sales,donna.harris@hardindelacruz.com,True,TAX72612,TIN,kf17366,Inactive,"3389 Ashley Island, Port Jenny, WI 43042-4396",3389 Ashley Island,,Port Jenny,WI,USA,43042-4396,43042,4396
Hernandez Group,Government,Validated,Home,(363) 710-2692,Sales,gabriel.wright@hernandez.com,False,TAX84480,GST,vJ83045,Active,"321 Allen Rest, New Wesley, ND 63831-7254",321 Allen Rest,,New Wesley,ND,USA,63831-7254,63831,7254
Perry-Church,Government,In Review,Office,(416) 768-6548,Sales,michael.carter@perrychurch.com,True,TAX68781,TIN,kg10051,Inactive,"4015 Barber Tunnel, Calebfurt, VA 93720-9588",4015 Barber Tunnel,,Calebfurt,VA,USA,93720-9588,93720,9588
"Williams, Diaz and Wilson",Government,Pending,Home,(931) 963-7775,Personal,erika.fowler@williams.com,False,TAX64039,GST,nh71460,Expired,"90263 Munoz Camp Suite 563, Apt. 812, Shawnmouth, DC 37294-3578",90263 Munoz Camp Suite 563,Apt. 812,Shawnmouth,DC,USA,37294-3578,37294,3578
"Cunningham, Johnson and Bowman",Public,Pending,Fax,(983) 311-5675,Business,dorothy.le@cunningham.com,False,TAX37226,GST,hR37588,Active,"0286 Lori Islands Apt. 317, Lucasburgh, IL 26105-9655",0286 Lori Islands Apt. 317,,Lucasburgh,IL,USA,26105-9655,26105,9655
"Barker, Edwards and Eaton",Private,Rejected,Fax,(256) 895-1770,HR,tiffany.gibbs@barker.com,True,TAX38398,LEI,uy78129,Active,"47954 Samuel Keys Apt. 405, Suite 782, West Derekbury, NY 77607-8886",47954 Samuel Keys Apt. 405,Suite 782,West Derekbury,NY,USA,77607-8886,77607,8886
Shaw-Blanchard,Non-Profit,Rejected,Office,(599) 570-9574,Sales,angela.brown@shawblanchard.com,False,TAX41607,EIN,Ux01282,Expired,"9236 Watson Shores Suite 276, Apt. 618, Monroeton, CT 19727-7892",9236 Watson Shores Suite 276,Apt. 618,Monroeton,CT,USA,19727-7892,19727,7892
"Baker, Ali and Nguyen",LLC,Validated,Home,(518) 818-1928,Personal,thomas.flores@baker.com,True,TAX93751,EIN,Lk48729,Inactive,"312 Garcia Village Suite 748, East Dustinfort, CO 21143-4083",312 Garcia Village Suite 748,,East Dustinfort,CO,USA,21143-4083,21143,4083
Parker-Robles,Government,Pending,Home,(510) 674-2962,Personal,francis.jones@parkerrobles.com,False,TAX12089,TIN,xH13328,Pending,"055 Tran Fords, Brownshire, RI 58088-6414",055 Tran Fords,,Brownshire,RI,USA,58088-6414,58088,6414
"Moore, Odom and Evans",Partnership,Pending,Home,(646) 308-1343,Business,alexandra.collins@moore.com,False,TAX22532,LEI,Hr02950,Inactive,"50334 Brown Parkways Apt. 275, Suite 232, Lopezshire, SD 78056-1433",50334 Brown Parkways Apt. 275,Suite 232,Lopezshire,SD,USA,78056-1433,78056,1433
Jones-Jones,Public,In Review,Office,(684) 903-3155,HR,tiffany.weaver@jonesjones.com,False,TAX62165,EIN,jM92231,Active,"922 Campos Squares, Wilsonshire, AS 45416-3493",922 Campos Squares,,Wilsonshire,AS,USA,45416-3493,45416,3493
Jackson-Lopez,Non-Profit,In Review,Mobile,(661) 828-8572,Sales,rhonda.brown@jacksonlopez.com,False,TAX77380,DUNS,rV26618,Inactive,"5889 Turner Fords Apt. 939, New Daniel, NM 40758-8527",5889 Turner Fords Apt. 939,,New Daniel,NM,USA,40758-8527,40758,8527
Price-Silva,Non-Profit,Approved,Mobile,(731) 495-4460,Support,joseph.brown@pricesilva.com,True,TAX92230,DUNS,Qb79527,Pending,"349 Diane Islands, Angelamouth, OK 56100-1318",349 Diane Islands,,Angelamouth,OK,USA,56100-1318,56100,1318
"Castaneda, Brown and Wilson",Partnership,Rejected,Fax,(756) 848-8351,Support,cindy.davis@castaneda.com,True,TAX20481,LEI,vm13077,Pending,"4682 Pratt Crossing Apt. 921, Eugeneshire, MD 65099-9569",4682 Pratt Crossing Apt. 921,,Eugeneshire,MD,USA,65099-9569,65099,9569
Thomas Inc,Private,Rejected,Mobile,(617) 320-9626,Sales,amanda.brennan@thomas.com,True,TAX97804,PAN,Bd23727,Active,"1433 Ray Square Apt. 276, Suite 016, Port Jamie, KS 21735-4658",1433 Ray Square Apt. 276,Suite 016,Port Jamie,KS,USA,21735-4658,21735,4658
Moore-Perkins,LLC,Pending,Home,(522) 888-6038,Support,tonya.garner@mooreperkins.com,False,TAX55193,TIN,lW43948,Inactive,"2039 Smith Brooks, Cooperburgh, PR 10132-6904",2039 Smith Brooks,,Cooperburgh,PR,USA,10132-6904,10132,6904
Meyer and Sons,Private,Validated,Home,(701) 639-5975,Personal,kevin.lang@meyer.com,False,TAX40973,PAN,Nv86056,Inactive,"011 Marie Manor Apt. 347, Port Samuelland, GA 69862-1032",011 Marie Manor Apt. 347,,Port Samuelland,GA,USA,69862-1032,69862,1032
Jordan-Clark,Private,Rejected,Home,(426) 574-3887,Sales,veronica.buchanan@jordanclark.com,True,TAX94624,EIN,sI09250,Inactive,"528 Green Drives Apt. 319, Suite 415, Lake Kaylafurt, HI 75610-9410",528 Green Drives Apt. 319,Suite 415,Lake Kaylafurt,HI,USA,75610-9410,75610,9410
"Acosta, Brown and Wilson",LLC,Approved,Fax,(955) 935-3592,Personal,michael.collins@acosta.com,True,TAX18278,DUNS,rx36401,Pending,"12665 Short Parkway, Suite 053, Lake Alexchester, AK 81254-2060",12665 Short Parkway,Suite 053,Lake Alexchester,AK,USA,81254-2060,81254,2060
"Kelly, Davis and Wright",Government,Approved,Mobile,(791) 312-9462,Personal,kimberly.zimmerman@kelly.com,True,TAX80540,DUNS,CV64827,Pending,"913 Allen Views Suite 091, Lake Lisa, VA 58308-7314",913 Allen Views Suite 091,,Lake Lisa,VA,USA,58308-7314,58308,7314
Osborne Ltd,Non-Profit,Pending,Fax,(584) 902-9831,Personal,justin.thomas@osborne.com,True,TAX77581,LEI,lE77345,Active,"1754 Joseph Alley, Port Gregory, VT 33652-5007",1754 Joseph Alley,,Port Gregory,VT,USA,33652-5007,33652,5007
Bruce-Escobar,LLC,In Review,Office,(339) 601-3808,Personal,kara.lopez@bruceescobar.com,False,TAX53494,PAN,Am39788,Pending,"27846 Simpson Meadow, Kathleenstad, MA 50489-5323",27846 Simpson Meadow,,Kathleenstad,MA,USA,50489-5323,50489,5323
Gomez-Myers,Non-Profit,Validated,Mobile,(249) 496-1757,Support,anne.mason@gomezmyers.com,False,TAX62093,LEI,ce28532,Inactive,"351 Rose Station Suite 216, Jacksonfort, WA 57423-5625",351 Rose Station Suite 216,,Jacksonfort,WA,USA,57423-5625,57423,5625
"Boyd, Thompson and Fowler",Public,Rejected,Fax,(756) 256-8583,Sales,monique.reed@boyd.com,False,TAX32757,GST,hm06526,Active,"49654 Reeves Lake Suite 292, Suite 539, Port Linda, LA 34745-1256",49654 Reeves Lake Suite 292,Suite 539,Port Linda,LA,USA,34745-1256,34745,1256
Morris-Cannon,Private,In Review,Mobile,(728) 424-6319,Personal,brian.brown@morriscannon.com,True,TAX55686,LEI,GR66023,Pending,"13564 Gerald Harbor Apt. 613, Apt. 438, Lake Daniel, NE 64358-7345",13564 Gerald Harbor Apt. 613,Apt. 438,Lake Daniel,NE,USA,64358-7345,64358,7345
"Escobar, Rodriguez and Chavez",Partnership,Approved,Fax,(525) 984-6468,Business,jacob.roberts@escobar.com,False,TAX25667,DUNS,ML63211,Pending,"28858 Michael Manor, North Alecville, AL 99364-5969",28858 Michael Manor,,North Alecville,AL,USA,99364-5969,99364,5969
"Carpenter, Vargas and Martinez",Non-Profit,Rejected,Mobile,(744) 902-6399,Business,cynthia.lopez@carpenter.com,False,TAX96516,TIN,oE21147,Inactive,"319 Powers Fort Apt. 062, Josephberg, WY 48453-7127",319 Powers Fort Apt. 062,,Josephberg,WY,USA,48453-7127,48453,7127
"Walker, Dunn and Carter",Private,Validated,Fax,(637) 641-1900,Support,lindsey.perkins@walker.com,False,TAX55065,TIN,ok37134,Active,"0992 Jacqueline Ports, East Benjamin, MO 63550-2336",0992 Jacqueline Ports,,East Benjamin,MO,USA,63550-2336,63550,2336
Parker-Martin,Partnership,Pending,Office,(388) 490-9559,Personal,daniel.wyatt@parkermartin.com,True,TAX45357,EIN,uC60553,Pending,"4830 Flores Streets Apt. 133, Apt. 552, New Ronaldmouth, WI 27465-3635",4830 Flores Streets Apt. 133,Apt. 552,New Ronaldmouth,WI,USA,27465-3635,27465,3635
"Golden, Gordon and Koch",Non-Profit,Validated,Mobile,(889) 472-5396,Personal,marvin.ellis@golden.com,False,TAX25846,LEI,gY16910,Inactive,"0007 Christopher Lodge, South Julieberg, MP 54760-6029",0007 Christopher Lodge,,South Julieberg,MP,USA,54760-6029,54760,6029
Perkins-Stafford,LLC,Validated,Office,(326) 725-8175,Sales,raven.lopez@perkinsstafford.com,False,TAX23910,DUNS,ld05631,Active,"08748 Berger Lodge, Lake Markstad, DE 43540-2921",08748 Berger Lodge,,Lake Markstad,DE,USA,43540-2921,43540,2921
"Taylor, Jones and Montgomery",Partnership,Pending,Fax,(592) 421-5689,Sales,nancy.huber@taylor.com,False,TAX20744,LEI,eE97734,Expired,"4640 Thomas Row Apt. 740, Apt. 289, North Deanna, NJ 25275-3824",4640 Thomas Row Apt. 740,Apt. 289,North Deanna,NJ,USA,25275-3824,25275,3824
"Clark, Brooks and Warren",LLC,Validated,Mobile,(617) 904-2703,Sales,jessica.arellano@clark.com,False,TAX54570,LEI,FE96415,Inactive,"45742 Haynes Terrace, Christinamouth, KS 27032-2117",45742 Haynes Terrace,,Christinamouth,KS,USA,27032-2117,27032,2117
Horton-Moore,Public,Rejected,Home,(371) 901-5019,Business,emily.small@hortonmoore.com,False,TAX33495,GST,Xp13916,Pending,"92678 Kayla Falls Suite 217, Suttonport, AR 39285-9814",92678 Kayla Falls Suite 217,,Suttonport,AR,USA,39285-9814,39285,9814
Hunter-Evans,LLC,Rejected,Home,(983) 518-8485,Business,michele.estrada@hunterevans.com,True,TAX22893,TIN,ME34009,Active,"0202 Elizabeth Lane Suite 774, Apt. 756, Martintown, KY 84555-5747",0202 Elizabeth Lane Suite 774,Apt. 756,Martintown,KY,USA,84555-5747,84555,5747
Edwards Group,Private,In Review,Fax,(423) 727-6564,Support,monique.brennan@edwards.com,True,TAX15715,DUNS,rC78584,Pending,"99969 Newman Crescent, Michaelhaven, UT 44936-6866",99969 Newman Crescent,,Michaelhaven,UT,USA,44936-6866,44936,6866
"Hart, Chapman and Sanders",Non-Profit,Pending,Fax,(244) 885-7777,Support,logan.mclean@hart.com,False,TAX36003,PAN,qC94463,Pending,"52090 Sherri Station, Apt. 753, South James, OK 61954-1655",52090 Sherri Station,Apt. 753,South James,OK,USA,61954-1655,61954,1655
Hernandez LLC,Private,Pending,Mobile,(383) 831-9386,Sales,frances.wu@hernandez.com,True,TAX63930,EIN,vT07214,Expired,"972 Mcguire Manor Suite 034, Mooreton, MH 68635-4431",972 Mcguire Manor Suite 034,,Mooreton,MH,USA,68635-4431,68635,4431
Brown LLC,Government,Rejected,Home,(334) 392-5443,Sales,anthony.wolfe@brown.com,True,TAX76128,PAN,rV13220,Expired,"7124 Bolton Union, Suite 038, Marvinfurt, AS 24531-6813",7124 Bolton Union,Suite 038,Marvinfurt,AS,USA,24531-6813,24531,6813
French Group,LLC,Validated,Office,(463) 378-1373,Sales,raymond.hutchinson@french.com,False,TAX94139,LEI,HE16124,Inactive,"3629 Paige Avenue Apt. 988, Rebeccaton, KS 36713-8305",3629 Paige Avenue Apt. 988,,Rebeccaton,KS,USA,36713-8305,36713,8305
Mills Group,Private,In Review,Fax,(243) 639-9301,HR,bruce.smith@mills.com,False,TAX40538,LEI,ED33775,Expired,"21932 Frey Mall Suite 868, Apt. 684, Websterview, ID 75931-1474",21932 Frey Mall Suite 868,Apt. 684,Websterview,ID,USA,75931-1474,75931,1474
"Harrington, Grimes and Craig",Public,In Review,Home,(610) 876-5753,Business,mary.robinson@harrington.com,False,TAX15707,DUNS,vY53445,Pending,"03155 Michelle Glen Suite 051, South Rebecca, MA 56177-7470",03155 Michelle Glen Suite 051,,South Rebecca,MA,USA,56177-7470,56177,7470
"Yang, Alexander and Meyers",Public,In Review,Mobile,(221) 860-4695,Support,melanie.mccormick@yang.com,False,TAX60097,TIN,Hw84914,Inactive,"7971 Ricardo Bridge, Apt. 807, Manningfort, WA 91588-3303",7971 Ricardo Bridge,Apt. 807,Manningfort,WA,USA,91588-3303,91588,3303
Bowers-Morgan,Government,In Review,Mobile,(746) 961-2349,Business,jeffery.green@bowersmorgan.com,False,TAX44091,PAN,Yl29759,Inactive,"3578 Daniel Road, Hurleytown, VA 64234-3247",3578 Daniel Road,,Hurleytown,VA,USA,64234-3247,64234,3247
"Anderson, Villa and Harvey",Partnership,Pending,Home,(924) 724-2654,Sales,billy.lopez@anderson.com,False,TAX38154,GST,dk40308,Expired,"61110 Williams Land, Apt. 045, North Timothyport, WA 84968-8596",61110 Williams Land,Apt. 045,North Timothyport,WA,USA,84968-8596,84968,8596
"Farmer, Richardson and Jones",Public,In Review,Fax,(476) 791-6906,Sales,robert.phillips@farmer.com,True,TAX98719,EIN,Yx86584,Inactive,"193 Smith Light, Apt. 629, Ruizside, OK 53058-9618",193 Smith Light,Apt. 629,Ruizside,OK,USA,53058-9618,53058,9618
Hunter-Hill,Private,Rejected,Home,(515) 908-3749,Sales,jackson.pitts@hunterhill.com,False,TAX47999,GST,GO07699,Active,"49501 Tracy Extensions, Lake Justin, MH 23615-2747",49501 Tracy Extensions,,Lake Justin,MH,USA,23615-2747,23615,2747
Boyer-Harding,Public,In Review,Office,(512) 251-1123,Personal,amber.burke@boyerharding.com,False,TAX59879,EIN,St49746,Pending,"5873 Berry Burgs Suite 873, Apt. 582, South Kellyborough, MT 12362-7455",5873 Berry Burgs Suite 873,Apt. 582,South Kellyborough,MT,USA,12362-7455,12362,7455
Meyer-Mclaughlin,Government,Pending,Office,(209) 448-9452,Personal,jennifer.gallagher@meyermclaughlin.com,False,TAX37076,DUNS,Hn39406,Expired,"027 Mark Heights, Suite 565, Autumnbury, UT 24521-9138",027 Mark Heights,Suite 565,Autumnbury,UT,USA,24521-9138,24521,9138
Carr PLC,Partnership,Approved,Fax,(932) 664-7610,Sales,amanda.maxwell@carr.com,False,TAX70797,DUNS,sP80106,Expired,"142 Joseph Mountain Apt. 967, Suite 199, Gainesshire, CT 94323-1870",142 Joseph Mountain Apt. 967,Suite 199,Gainesshire,CT,USA,94323-1870,94323,1870
Reed LLC,Public,In Review,Office,(243) 259-2058,Support,michael.johnson@reed.com,False,TAX79765,DUNS,Lb17293,Active,"221 Henry Mall, Suite 789, Lake Ryan, MD 43484-6179",221 Henry Mall,Suite 789,Lake Ryan,MD,USA,43484-6179,43484,6179
Zamora-Roberts,Government,Validated,Mobile,(251) 706-4862,Business,clinton.brown@zamoraroberts.com,True,TAX54117,DUNS,pH81741,Expired,"5969 Michelle Forges Apt. 806, North Ryanland, DE 49750-2109",5969 Michelle Forges Apt. 806,,North Ryanland,DE,USA,49750-2109,49750,2109
Castro-Anderson,Public,Validated,Office,(717) 560-5819,HR,michelle.singh@castroanderson.com,False,TAX80139,GST,CP87013,Pending,"94523 Anderson Lodge Suite 658, Suite 548, Lake Melissa, HI 58440-8132",94523 Anderson Lodge Suite 658,Suite 548,Lake Melissa,HI,USA,58440-8132,58440,8132
"Gonzalez, Hines and Copeland",Government,In Review,Fax,(392) 906-4031,Support,joseph.owens@gonzalez.com,False,TAX60787,GST,Nd79144,Inactive,"60193 Aaron Vista Apt. 682, Andrewchester, MA 77477-4636",60193 Aaron Vista Apt. 682,,Andrewchester,MA,USA,77477-4636,77477,4636
"Barnes, Cuevas and Porter",Public,Rejected,Mobile,(296) 237-2545,Personal,rhonda.johnson@barnes.com,True,TAX31691,TIN,eP10027,Active,"7135 Stephen Cove, North Stephen, FL 95624-7980",7135 Stephen Cove,,North Stephen,FL,USA,95624-7980,95624,7980
"Roberts, Case and Hill",Partnership,Pending,Fax,(972) 621-6615,Support,tracy.tanner@roberts.com,False,TAX86957,GST,MJ19062,Expired,"021 William Skyway, Priscillaberg, CA 63168-3498",021 William Skyway,,Priscillaberg,CA,USA,63168-3498,63168,3498
"Leonard, Johnston and Morrow",Public,Pending,Office,(816) 470-7766,Sales,jacob.dominguez@leonard.com,False,TAX55882,EIN,UF08382,Active,"04393 Ross Roads, Apt. 483, South Anthony, AS 57085-7918",04393 Ross Roads,Apt. 483,South Anthony,AS,USA,57085-7918,57085,7918
Stevens-Schmidt,Government,Rejected,Fax,(514) 214-6542,HR,tristan.norman@stevensschmidt.com,True,TAX60268,PAN,YL69977,Pending,"944 Shelly Crossing Apt. 271, Williamchester, FL 73226-9516",944 Shelly Crossing Apt. 271,,Williamchester,FL,USA,73226-9516,73226,9516
Rodriguez-Andrade,LLC,Rejected,Mobile,(986) 334-9360,Support,thomas.howell@rodriguezandrade.com,False,TAX27290,GST,yj56702,Active,"5886 Johnston Corner Apt. 000, South Stacy, NH 60073-1037",5886 Johnston Corner Apt. 000,,South Stacy,NH,USA,60073-1037,60073,1037
Torres-Flowers,Private,Pending,Fax,(504) 760-6506,Personal,sara.lutz@torresflowers.com,False,TAX49237,LEI,Uc09790,Inactive,"9209 Green Motorway, Lake Eriktown, MI 19179-9704",9209 Green Motorway,,Lake Eriktown,MI,USA,19179-9704,19179,9704
Contreras-Hill,Non-Profit,Validated,Mobile,(877) 270-2424,Support,malik.mcdonald@contrerashill.com,False,TAX55670,EIN,fQ51507,Inactive,"00190 Hunt Mountains Apt. 615, Apt. 413, North Amyburgh, MO 14241-2110",00190 Hunt Mountains Apt. 615,Apt. 413,North Amyburgh,MO,USA,14241-2110,14241,2110
Parrish PLC,Partnership,Approved,Mobile,(917) 504-4178,Personal,joshua.bray@parrish.com,False,TAX63051,DUNS,eD48216,Active,"90636 Andrea Ranch Suite 418, Apt. 189, Burkestad, VI 43389-9249",90636 Andrea Ranch Suite 418,Apt. 189,Burkestad,VI,USA,43389-9249,43389,9249
Wood-Johnson,Government,Validated,Fax,(230) 570-1811,Support,dustin.haas@woodjohnson.com,True,TAX79215,DUNS,VQ94379,Pending,"912 Gerald Flats Suite 368, New Tonya, LA 49978-2568",912 Gerald Flats Suite 368,,New Tonya,LA,USA,49978-2568,49978,2568
"Rodriguez, Juarez and Ford",LLC,In Review,Office,(701) 526-8769,Personal,katherine.perez@rodriguez.com,False,TAX62181,TIN,HH94721,Pending,"3764 Joseph Manor Apt. 185, Suite 272, Ginaburgh, IA 27758-8533",3764 Joseph Manor Apt. 185,Suite 272,Ginaburgh,IA,USA,27758-8533,27758,8533
Holt-Young,LLC,Approved,Office,(794) 591-1406,Business,danny.vasquez@holtyoung.com,True,TAX84638,EIN,Oy03076,Expired,"611 Gina Throughway, Suite 119, North Margaretside, AL 26204-9469",611 Gina Throughway,Suite 119,North Margaretside,AL,USA,26204-9469,26204,9469
Wright-Hale,Partnership,Rejected,Office,(869) 356-3557,Business,reginald.bryant@wrighthale.com,False,TAX65637,EIN,zL95882,Inactive,"3781 Devin Manors Suite 245, Suite 988, Petersonville, CA 48259-9972",3781 Devin Manors Suite 245,Suite 988,Petersonville,CA,USA,48259-9972,48259,9972
Cherry Inc,Private,Validated,Fax,(462) 770-4573,Sales,karen.moore@cherry.com,False,TAX16729,TIN,CW56980,Expired,"4813 Joseph Lakes, Apt. 277, Wandachester, MH 17483-4088",4813 Joseph Lakes,Apt. 277,Wandachester,MH,USA,17483-4088,17483,4088
Thomas PLC,Private,Approved,Fax,(646) 223-8252,HR,michelle.kent@thomas.com,False,TAX10262,DUNS,Wo98502,Expired,"42656 Price Village Apt. 827, Apt. 277, Monroefurt, NM 57834-2388",42656 Price Village Apt. 827,Apt. 277,Monroefurt,NM,USA,57834-2388,57834,2388
Gardner Inc,Private,Approved,Office,(717) 554-7752,Personal,ashley.bass@gardner.com,True,TAX19441,LEI,wr03181,Inactive,"4378 Hill Parks, New Tracystad, WV 46831-8586",4378 Hill Parks,,New Tracystad,WV,USA,46831-8586,46831,8586
"Wong, Rodriguez and Jacobs",Partnership,Validated,Home,(898) 954-2902,Sales,luke.walker@wong.com,True,TAX57722,TIN,px78221,Pending,"16685 Michael Cape Apt. 265, Port Earl, NC 39655-6284",16685 Michael Cape Apt. 265,,Port Earl,NC,USA,39655-6284,39655,6284
Swanson Group,Private,Pending,Fax,(445) 576-3382,Business,luis.caldwell@swanson.com,False,TAX18891,GST,cy44217,Active,"232 Tyler Views, New Anthonyport, NC 25332-4676",232 Tyler Views,,New Anthonyport,NC,USA,25332-4676,25332,4676
Johnson-Gomez,LLC,In Review,Office,(590) 629-6437,HR,tammy.edwards@johnsongomez.com,True,TAX26278,DUNS,yj90620,Active,"24441 Mills Ford, South Gailtown, VT 77061-4613",24441 Mills Ford,,South Gailtown,VT,USA,77061-4613,77061,4613
Malone and Sons,Private,Approved,Mobile,(559) 615-1183,HR,christopher.massey@malone.com,True,TAX39558,GST,FL21137,Expired,"16880 Judith Lock Suite 843, Apt. 606, Harrisborough, AK 56268-2264",16880 Judith Lock Suite 843,Apt. 606,Harrisborough,AK,USA,56268-2264,56268,2264
Sloan and Sons,Partnership,Rejected,Mobile,(641) 480-4245,Support,david.flynn@sloan.com,False,TAX58094,EIN,PA94419,Active,"7695 Bates Isle Apt. 360, Johnsonshire, MN 16074-5910",7695 Bates Isle Apt. 360,,Johnsonshire,MN,USA,16074-5910,16074,5910
"Porter, Sullivan and Hogan",LLC,Pending,Mobile,(314) 392-7446,Personal,cheryl.davis@porter.com,True,TAX28451,PAN,gz38196,Active,"20452 Bonnie Islands, Suite 518, East Ricardoshire, SD 47572-2415",20452 Bonnie Islands,Suite 518,East Ricardoshire,SD,USA,47572-2415,47572,2415
Harmon-Pena,Government,Validated,Home,(258) 761-7986,Personal,anthony.walton@harmonpena.com,False,TAX86411,PAN,uD89817,Expired,"868 Gonzales Union Apt. 604, Lake Mark, GA 58868-2042",868 Gonzales Union Apt. 604,,Lake Mark,GA,USA,58868-2042,58868,2042
"Peterson, Bolton and Norman",LLC,Rejected,Fax,(457) 519-1634,Business,thomas.simpson@peterson.com,False,TAX78388,LEI,Ls52861,Pending,"633 Sabrina Underpass Suite 417, Suite 862, West Nancy, KS 95873-2760",633 Sabrina Underpass Suite 417,Suite 862,West Nancy,KS,USA,95873-2760,95873,2760
Pitts-Perez,Government,In Review,Mobile,(943) 755-4441,Business,emma.quinn@pittsperez.com,True,TAX39809,EIN,Pu89011,Expired,"3677 Robert Mission Apt. 616, Suite 525, Joyton, TX 50644-3580",3677 Robert Mission Apt. 616,Suite 525,Joyton,TX,USA,50644-3580,50644,3580
Tyler Ltd,Public,Approved,Mobile,(617) 616-2232,Personal,cameron.gallegos@tyler.com,True,TAX77061,EIN,bV70311,Inactive,"5251 Jennifer Mission, Apt. 746, Estradatown, NM 43780-1630",5251 Jennifer Mission,Apt. 746,Estradatown,NM,USA,43780-1630,43780,1630
"Berry, Harris and Dunn",Government,In Review,Home,(390) 500-7665,Support,kyle.gray@berry.com,False,TAX10054,PAN,aV36906,Expired,"046 Jared Spurs Apt. 246, Barberfurt, MH 16041-1100",046 Jared Spurs Apt. 246,,Barberfurt,MH,USA,16041-1100,16041,1100
